	#	Name	Type 1	Type 2	Sp. Def	Speed	Total	HP	Attack	Defense	Sp. Atk	Sp. Def
420	381	LatiosMega Latios	Dragon	Psychic	120	110	1870	80	130	100	160	120
421	382	Kyogre	Water		140	90	1780	100	100	90	150	140
422	382	KyogrePrimal Kyogre	Water		160	90	2060	100	150	90	180	160
423	383	Groudon	Ground		90	90	1830	100	150	140	100	90
424	383	GroudonPrimal Groudon	Ground	Fire	90	90	2130	100	180	160	150	90
425	384	Rayquaza	Dragon	Flying	90	95	1855	105	150	90	150	90
426	384	RayquazaMega Rayquaza	Dragon	Flying	100	115	2125	105	180	100	180	100
427	385	Jirachi	Steel	Psychic	100	100	1600	100	100	100	100	100
428	386	DeoxysNormal Forme	Psychic		50	150	1600	50	150	50	150	50
429	386	DeoxysAttack Forme	Psychic		20	150	1630	50	180	20	180	20
430	386	DeoxysDefense Forme	Psychic		160	90	1550	50	70	160	70	160
431	386	DeoxysSpeed Forme	Psychic		90	180	1530	50	95	90	95	90
432	387	Turtwig	Grass		55	31	868	55	68	64	45	55
433	388	Grotle	Grass		65	36	1114	75	89	85	55	65
434	389	Torterra	Grass	Ground	85	56	1434	95	109	105	75	85
435	390	Chimchar	Fire		44	61	822	44	58	44	58	44
436	391	Monferno	Fire	Fighting	52	81	1082	64	78	52	78	52
437	392	Infernape	Fire	Fighting	71	108	1423	76	104	71	104	71
438	393	Piplup	Water		56	40	846	53	51	53	61	56
439	394	Prinplup	Water		76	50	1089	64	66	68	81	76
440	395	Empoleon	Water	Steel	101	60	1429	84	86	88	111	101
441	396	Starly	Normal	Flying	30	60	645	40	55	30	30	30
442	397	Staravia	Normal	Flying	40	80	900	55	75	50	40	40
443	398	Staraptor	Normal	Flying	60	100	1295	85	120	70	50	60
444	399	Bidoof	Normal		40	31	679	59	45	40	35	40
445	400	Bibarel	Normal	Water	60	71	1099	79	85	60	55	60
446	401	Kricketot	Bug		41	25	516	37	25	41	25	41
447	402	Kricketune	Bug		51	65	1036	77	85	51	55	51
448	403	Shinx	Electric		34	45	710	45	65	34	40	34
449	404	Luxio	Electric		49	60	980	60	85	49	60	49
450	405	Luxray	Electric		79	70	1420	80	120	79	95	79
451	406	Budew	Grass	Poison	70	55	715	40	30	35	50	70
452	407	Roserade	Grass	Poison	105	90	1350	60	70	65	125	105
453	408	Cranidos	Rock		30	58	962	67	125	40	30	30
454	409	Rampardos	Rock		50	58	1377	97	165	60	65	50
455	410	Shieldon	Rock	Steel	88	30	932	30	42	118	42	88
456	411	Bastiodon	Rock	Steel	138	30	1317	60	52	168	47	138
457	412	Burmy	Bug		45	36	591	40	29	45	29	45
458	413	WormadamPlant Cloak	Bug	Grass	105	36	1131	60	59	85	79	105
459	413	WormadamSandy Cloak	Bug	Ground	85	36	1151	60	79	105	59	85
460	413	WormadamTrash Cloak	Bug	Steel	95	36	1141	60	69	95	69	95
461	414	Mothim	Bug	Flying	50	66	1156	70	94	50	94	50
462	415	Combee	Bug	Flying	42	70	620	30	30	42	30	42
463	416	Vespiquen	Bug	Flying	102	40	1280	70	80	102	80	102
464	417	Pachirisu	Electric		90	95	1030	60	45	70	45	90
465	418	Buizel	Water		30	85	875	55	65	35	60	30
466	419	Floatzel	Water		50	115	1320	85	105	55	85	50
467	420	Cherubi	Grass		53	35	737	45	35	45	62	53
468	421	Cherrim	Grass		78	85	1187	70	60	70	87	78
469	422	Shellos	Water		62	34	879	76	48	48	57	62
470	423	Gastrodon	Water	Ground	82	39	1304	111	83	68	92	82
471	424	Ambipom	Normal		66	115	1265	75	100	66	60	66
472	425	Drifloon	Ghost	Flying	44	70	930	90	50	34	60	44
473	426	Drifblim	Ghost	Flying	54	80	1360	150	80	44	90	54
474	427	Buneary	Normal		56	85	909	55	66	44	44	56
475	428	Lopunny	Normal		96	105	1239	65	76	84	54	96
476	428	LopunnyMega Lopunny	Normal	Fighting	96	135	1509	65	136	94	54	96
477	429	Mismagius	Ghost		105	105	1275	60	60	60	105	105
478	430	Honchkrow	Dark	Flying	52	71	1392	100	125	52	105	52
479	431	Glameow	Normal		37	85	808	49	55	42	42	37
480	432	Purugly	Normal		59	112	1185	71	82	64	64	59
481	433	Chingling	Psychic		50	45	760	45	30	50	65	50
482	434	Stunky	Poison	Dark	41	74	872	63	63	47	41	41
483	435	Skuntank	Poison	Dark	61	84	1292	103	93	67	71	61
484	436	Bronzor	Steel	Psychic	86	23	791	57	24	86	24	86
485	437	Bronzong	Steel	Psychic	116	33	1351	67	89	116	79	116
486	438	Bonsly	Rock		45	10	815	50	80	95	10	45
487	439	Mime Jr.	Psychic	Fairy	90	60	780	20	25	45	70	90
488	440	Happiny	Normal		65	30	565	100	5	5	15	65
489	441	Chatot	Normal	Flying	42	91	1100	76	65	45	92	42
490	442	Spiritomb	Ghost	Dark	108	35	1312	50	92	108	92	108
491	443	Gible	Dragon	Ground	45	42	813	58	70	45	40	45
492	444	Gabite	Dragon	Ground	55	82	1093	68	90	65	50	55
493	445	Garchomp	Dragon	Ground	85	102	1613	108	130	95	80	85
494	445	GarchompMega Garchomp	Dragon	Ground	95	92	1913	108	170	115	120	95
495	446	Munchlax	Normal		85	5	1080	135	85	40	40	85
496	447	Riolu	Fighting		40	60	755	40	70	40	35	40
497	448	Lucario	Fighting	Steel	70	90	1415	70	110	70	115	70
498	448	LucarioMega Lucario	Fighting	Steel	70	112	1693	70	145	88	140	70
499	449	Hippopotas	Ground		42	32	916	68	72	78	38	42
500	450	Hippowdon	Ground		72	47	1456	108	112	118	68	72
501	451	Skorupi	Poison	Bug	55	65	870	40	50	90	30	55
502	452	Drapion	Poison	Dark	75	95	1330	70	90	110	60	75
503	453	Croagunk	Poison	Fighting	40	50	810	48	61	40	61	40
504	454	Toxicroak	Poison	Fighting	65	85	1320	83	106	65	86	65
505	455	Carnivine	Grass		72	46	1244	74	100	72	90	72
506	456	Finneon	Water		61	66	863	49	49	56	49	61
507	457	Lumineon	Water		86	91	1203	69	69	76	69	86
508	458	Mantyke	Water	Flying	120	50	865	45	20	50	60	120
509	459	Snover	Grass	Ice	60	40	902	60	62	50	62	60
510	460	Abomasnow	Grass	Ice	85	60	1337	90	92	75	92	85
511	460	AbomasnowMega Abomasnow	Grass	Ice	105	30	1647	90	132	105	132	105
512	461	Weavile	Dark	Ice	85	125	1320	70	120	65	45	85
513	462	Magnezone	Electric	Steel	90	60	1455	70	70	115	130	90
514	463	Lickilicky	Normal		95	50	1400	110	85	95	80	95
515	464	Rhyperior	Ground	Rock	55	40	1510	115	140	130	55	55
516	465	Tangrowth	Grass		50	50	1505	100	100	125	110	50
517	466	Electivire	Electric		85	95	1440	75	123	67	95	85
518	467	Magmortar	Fire		95	83	1442	75	95	67	125	95
519	468	Togekiss	Fairy	Flying	115	80	1440	85	50	95	120	115
520	469	Yanmega	Bug	Flying	56	95	1394	86	76	86	116	56
521	470	Leafeon	Grass		65	95	1415	65	110	130	60	65
522	471	Glaceon	Ice		95	65	1415	65	60	110	130	95
523	472	Gliscor	Ground	Flying	75	95	1360	75	95	125	45	75
524	473	Mamoswine	Ice	Ground	60	80	1450	110	130	80	70	60
525	474	Porygon-Z	Normal		75	90	1440	85	80	70	135	75
526	475	Gallade	Psychic	Fighting	115	80	1359	68	125	65	65	115
527	475	GalladeMega Gallade	Psychic	Fighting	115	110	1629	68	165	95	65	115
528	476	Probopass	Rock	Steel	150	40	1385	60	55	145	75	150
529	477	Dusknoir	Ghost		135	45	1395	45	100	135	65	135
530	478	Froslass	Ice	Ghost	70	110	1260	70	80	70	80	70
531	479	Rotom	Electric	Ghost	77	91	1152	50	50	77	95	77
532	479	RotomHeat Rotom	Electric	Fire	107	86	1367	50	65	107	105	107
533	479	RotomWash Rotom	Electric	Water	107	86	1367	50	65	107	105	107
534	479	RotomFrost Rotom	Electric	Ice	107	86	1367	50	65	107	105	107
535	479	RotomFan Rotom	Electric	Flying	107	86	1367	50	65	107	105	107
536	479	RotomMow Rotom	Electric	Grass	107	86	1367	50	65	107	105	107
537	480	Uxie	Psychic		130	95	1515	75	75	130	75	130
538	481	Mesprit	Psychic		105	80	1555	80	105	105	105	105
539	482	Azelf	Psychic		70	115	1555	75	125	70	125	70
540	483	Dialga	Steel	Dragon	100	90	1850	100	120	120	150	100
541	484	Palkia	Water	Dragon	120	100	1820	90	120	100	150	120
542	485	Heatran	Fire	Steel	106	77	1617	91	90	106	130	106
543	486	Regigigas	Normal		110	100	1800	110	160	110	80	110
544	487	GiratinaAltered Forme	Ghost	Dragon	120	90	1830	150	100	120	100	120
545	487	GiratinaOrigin Forme	Ghost	Dragon	100	90	1850	150	120	100	120	100
546	488	Cresselia	Psychic		130	85	1585	120	70	120	75	130
547	489	Phione	Water		80	80	1280	80	80	80	80	80
548	490	Manaphy	Water		100	100	1600	100	100	100	100	100
549	491	Darkrai	Dark		90	125	1585	70	90	90	135	90
550	492	ShayminLand Forme	Grass		100	100	1600	100	100	100	100	100
551	492	ShayminSky Forme	Grass	Flying	75	127	1598	100	103	75	120	75
552	493	Arceus	Normal		120	120	1920	120	120	120	120	120
553	494	Victini	Psychic	Fire	100	100	1600	100	100	100	100	100
554	495	Snivy	Grass		55	63	806	45	45	55	45	55
555	496	Servine	Grass		75	83	1081	60	60	75	60	75
556	497	Serperior	Grass		95	113	1376	75	75	95	75	95
557	498	Tepig	Fire		45	45	834	65	63	45	45	45
558	499	Pignite	Fire	Fighting	55	55	1144	90	93	55	70	55
559	500	Emboar	Fire	Fighting	65	65	1454	110	123	65	100	65
560	501	Oshawott	Water		45	45	834	55	55	45	63	45
561	502	Dewott	Water		60	60	1119	75	75	60	83	60
562	503	Samurott	Water		70	70	1444	95	100	85	108	70
563	504	Patrat	Normal		39	42	684	45	55	39	35	39
564	505	Watchog	Normal		69	77	1114	60	85	69	60	69
565	506	Lillipup	Normal		45	55	725	45	60	45	25	45
566	507	Herdier	Normal		65	60	985	65	80	65	35	65
567	508	Stoutland	Normal		90	80	1330	85	110	90	45	90
568	509	Purrloin	Dark		37	66	740	41	50	37	50	37
569	510	Liepard	Dark		50	106	1182	64	88	50	88	50
570	511	Pansage	Grass		48	64	836	50	53	48	53	48
571	512	Simisage	Grass		63	101	1330	75	98	63	98	63
572	513	Pansear	Fire		48	64	836	50	53	48	53	48
573	514	Simisear	Fire		63	101	1330	75	98	63	98	63
574	515	Panpour	Water		48	64	836	50	53	48	53	48
575	516	Simipour	Water		63	101	1330	75	98	63	98	63
576	517	Munna	Psychic		55	24	797	76	25	45	67	55
577	518	Musharna	Psychic		95	29	1337	116	55	85	107	95
578	519	Pidove	Normal	Flying	30	43	719	50	55	50	36	30
579	520	Tranquill	Normal	Flying	42	65	967	62	77	62	50	42
580	521	Unfezant	Normal	Flying	55	93	1316	80	115	80	65	55
581	522	Blitzle	Electric		32	76	777	45	60	32	50	32
582	523	Zebstrika	Electric		63	116	1312	75	100	63	80	63
583	524	Roggenrola	Rock		25	15	800	55	75	85	25	25
584	525	Boldore	Rock		40	20	1110	70	105	105	50	40
585	526	Gigalith	Rock		80	25	1440	85	135	130	60	80
586	527	Woobat	Psychic	Flying	43	72	824	55	45	43	55	43
587	528	Swoobat	Psychic	Flying	55	114	1106	67	57	55	77	55
588	529	Drilbur	Ground		45	68	871	60	85	40	30	45
589	530	Excadrill	Ground	Steel	65	88	1371	110	135	60	50	65
590	531	Audino	Normal		86	50	1199	103	60	86	60	86
591	531	AudinoMega Audino	Normal	Fairy	126	50	1459	103	60	126	80	126
592	532	Timburr	Fighting		35	35	845	75	80	55	25	35
593	533	Gurdurr	Fighting		50	40	1125	85	105	85	40	50
594	534	Conkeldurr	Fighting		65	45	1405	105	140	95	55	65
595	535	Tympole	Water		40	64	778	50	50	40	50	40
596	536	Palpitoad	Water	Ground	55	69	1028	75	65	55	65	55
597	537	Seismitoad	Water	Ground	75	74	1378	105	95	75	85	75
598	538	Throh	Fighting		85	45	1265	120	100	85	30	85
599	539	Sawk	Fighting		75	85	1235	75	125	75	30	75
600	540	Sewaddle	Bug	Grass	60	42	828	45	53	70	40	60
601	541	Swadloon	Bug	Grass	80	42	1018	55	63	90	50	80
602	542	Leavanny	Bug	Grass	80	92	1328	75	103	80	70	80
603	543	Venipede	Bug	Poison	39	57	684	30	45	59	30	39
604	544	Whirlipede	Bug	Poison	79	47	954	40	55	99	40	79
605	545	Scolipede	Bug	Poison	69	112	1274	60	100	89	55	69
606	546	Cottonee	Grass	Fairy	50	66	724	40	27	60	37	50
607	547	Whimsicott	Grass	Fairy	75	116	1249	60	67	85	77	75
608	548	Petilil	Grass		50	30	760	45	35	50	70	50
609	549	Lilligant	Grass		75	90	1275	70	60	75	110	75
610	550	Basculin	Water		55	98	1227	70	92	65	80	55
611	551	Sandile	Ground	Dark	35	65	776	50	72	35	35	35
612	552	Krokorok	Ground	Dark	45	74	934	60	82	45	45	45
613	553	Krookodile	Ground	Dark	70	92	1395	95	117	80	65	70
614	554	Darumaka	Fire		45	50	850	70	90	45	15	45
615	555	DarmanitanStandard Mode	Fire		55	95	1290	105	140	55	30	55
616	555	DarmanitanZen Mode	Fire	Psychic	105	55	1460	105	30	105	140	105
617	556	Maractus	Grass		67	60	1256	75	86	67	106	67
618	557	Dwebble	Bug	Rock	35	55	885	50	65	85	35	35
619	558	Crustle	Bug	Rock	75	45	1305	70	95	125	65	75
620	559	Scraggy	Dark	Fighting	70	48	926	50	75	70	35	70
621	560	Scrafty	Dark	Fighting	115	58	1291	65	90	115	45	115
622	561	Sigilyph	Psychic	Flying	80	97	1293	72	58	80	103	80
623	562	Yamask	Ghost		65	30	814	38	30	85	55	65
624	563	Cofagrigus	Ghost		105	30	1314	58	50	145	95	105
625	564	Tirtouga	Water	Rock	45	22	998	54	78	103	53	45
626	565	Carracosta	Water	Rock	65	32	1388	74	108	133	83	65
627	566	Archen	Rock	Flying	45	70	1088	55	112	45	74	45
628	567	Archeops	Rock	Flying	65	110	1526	75	140	65	112	65
629	568	Trubbish	Poison		62	65	860	50	50	62	40	62
630	569	Garbodor	Poison		82	75	1265	80	95	82	60	82
631	570	Zorua	Dark		40	65	885	40	65	40	80	40
632	571	Zoroark	Dark		60	105	1365	60	105	60	120	60
633	572	Minccino	Normal		40	75	785	55	50	40	40	40
634	573	Cinccino	Normal		60	115	1235	75	95	60	65	60
635	574	Gothita	Psychic		65	45	760	45	30	50	55	65
636	575	Gothorita	Psychic		85	55	1030	60	45	70	75	85
637	576	Gothitelle	Psychic		110	65	1295	70	55	95	95	110
638	577	Solosis	Psychic		50	20	800	45	30	40	105	50
639	578	Duosion	Psychic		60	30	1020	65	40	50	125	60
640	579	Reuniclus	Psychic		85	30	1355	110	65	75	125	85
641	580	Ducklett	Water	Flying	50	55	810	62	44	50	44	50
642	581	Swanna	Water	Flying	63	98	1258	75	87	63	87	63
643	582	Vanillite	Ice		60	44	811	36	50	50	65	60
644	583	Vanillish	Ice		75	59	1051	51	65	65	80	75
645	584	Vanilluxe	Ice		95	79	1431	71	95	85	110	95
646	585	Deerling	Normal	Grass	50	75	880	60	60	50	40	50
647	586	Sawsbuck	Normal	Grass	70	95	1260	80	100	70	60	70
648	587	Emolga	Electric	Flying	60	103	1121	55	75	60	75	60
649	588	Karrablast	Bug		45	60	840	50	75	45	40	45
650	589	Escavalier	Bug	Steel	105	20	1360	70	135	105	60	105
651	590	Foongus	Grass	Poison	55	15	812	69	55	45	55	55
652	591	Amoonguss	Grass	Poison	80	30	1282	114	85	70	85	80
653	592	Frillish	Water	Ghost	85	40	880	55	40	50	65	85
654	593	Jellicent	Water	Ghost	105	60	1275	100	60	70	85	105
655	594	Alomomola	Water		45	65	1300	165	75	80	40	45
656	595	Joltik	Bug	Electric	50	65	842	50	47	50	57	50
657	596	Galvantula	Bug	Electric	60	108	1248	70	77	60	97	60
658	597	Ferroseed	Grass	Steel	86	10	819	44	50	91	24	86
659	598	Ferrothorn	Grass	Steel	116	20	1331	74	94	131	54	116
660	599	Klink	Steel		60	30	810	40	55	70	45	60
661	600	Klang	Steel		85	50	1185	60	80	95	70	85
662	601	Klinklang	Steel		85	90	1385	60	100	115	70	85
663	602	Tynamo	Electric		40	60	725	35	55	40	45	40
664	603	Eelektrik	Electric		70	40	1105	65	85	70	75	70
665	604	Eelektross	Electric		80	50	1415	85	115	80	105	80
666	605	Elgyem	Psychic		55	30	920	55	55	55	85	55
667	606	Beheeyem	Psychic		95	40	1320	75	75	75	125	95
668	607	Litwick	Ghost	Fire	55	20	750	50	30	55	65	55
669	608	Lampent	Ghost	Fire	60	55	995	60	40	60	95	60
670	609	Chandelure	Ghost	Fire	90	80	1390	60	55	90	145	90
671	610	Axew	Dragon		40	57	863	46	87	60	30	40
672	611	Fraxure	Dragon		50	67	1113	66	117	70	40	50
673	612	Haxorus	Dragon		70	97	1453	76	147	90	60	70
674	613	Cubchoo	Ice		40	40	835	55	70	40	60	40
675	614	Beartic	Ice		80	50	1325	95	110	80	70	80
676	615	Cryogonal	Ice		135	105	1215	70	50	30	95	135
677	616	Shelmet	Bug		65	25	825	50	40	85	40	65
678	617	Accelgor	Bug		60	145	1280	80	70	40	100	60
679	618	Stunfisk	Ground	Electric	99	32	1282	109	66	84	81	99
680	619	Mienfoo	Fighting		50	65	935	45	85	50	55	50
681	620	Mienshao	Fighting		60	105	1365	65	125	60	95	60
682	621	Druddigon	Dragon		90	48	1317	77	120	90	60	90
683	622	Golett	Ground	Ghost	50	35	824	59	74	50	35	50
684	623	Golurk	Ground	Ghost	80	55	1314	89	124	80	55	80
685	624	Pawniard	Dark	Steel	40	60	920	45	85	70	40	40
686	625	Bisharp	Dark	Steel	70	70	1330	65	125	100	60	70
687	626	Bouffalant	Normal		95	55	1320	95	110	95	40	95
688	627	Rufflet	Normal	Flying	50	60	940	70	83	50	37	50
689	628	Braviary	Normal	Flying	75	80	1375	100	123	75	57	75
690	629	Vullaby	Dark	Flying	65	60	985	70	55	75	45	65
691	630	Mandibuzz	Dark	Flying	95	80	1355	110	65	105	55	95
692	631	Heatmor	Fire		66	65	1321	85	97	66	105	66
693	632	Durant	Bug	Steel	48	109	1295	58	109	112	48	48
694	633	Deino	Dark	Dragon	50	38	812	52	65	50	45	50
695	634	Zweilous	Dark	Dragon	70	58	1132	72	85	70	65	70
696	635	Hydreigon	Dark	Dragon	90	98	1612	92	105	90	125	90
697	636	Larvesta	Bug	Fire	55	60	965	55	85	55	50	55
698	637	Volcarona	Bug	Fire	105	100	1445	85	60	65	135	105
699	638	Cobalion	Steel	Fighting	72	108	1560	91	90	129	90	72
700	639	Terrakion	Rock	Fighting	90	108	1542	91	129	90	72	90
701	640	Virizion	Grass	Fighting	129	108	1503	91	90	72	90	129
702	641	TornadusIncarnate Forme	Flying		80	111	1549	79	115	70	125	80
703	641	TornadusTherian Forme	Flying		90	121	1529	79	100	80	110	90
704	642	ThundurusIncarnate Forme	Electric	Flying	80	111	1549	79	115	70	125	80
705	642	ThundurusTherian Forme	Electric	Flying	80	101	1559	79	105	70	145	80
706	643	Reshiram	Dragon	Fire	120	90	1830	100	120	100	150	120
707	644	Zekrom	Dragon	Electric	100	90	1850	100	150	120	120	100
708	645	LandorusIncarnate Forme	Ground	Flying	80	101	1619	89	125	90	115	80
709	645	LandorusTherian Forme	Ground	Flying	80	91	1629	89	145	90	105	80
710	646	Kyurem	Dragon	Ice	90	95	1795	125	130	90	130	90
711	646	KyuremBlack Kyurem	Dragon	Ice	90	95	1915	125	170	100	120	90
712	646	KyuremWhite Kyurem	Dragon	Ice	100	95	1905	125	120	90	170	100
713	647	KeldeoOrdinary Forme	Water	Fighting	90	108	1542	91	72	90	129	90
714	647	KeldeoResolute Forme	Water	Fighting	90	108	1542	91	72	90	129	90
715	648	MeloettaAria Forme	Normal	Psychic	128	90	1582	100	77	77	128	128
716	648	MeloettaPirouette Forme	Normal	Fighting	77	128	1595	100	128	90	77	77
717	649	Genesect	Bug	Steel	95	99	1606	71	120	95	120	95
718	650	Chespin	Grass		45	38	856	56	61	65	48	45
719	651	Quilladin	Grass		58	57	1100	61	78	95	56	58
720	652	Chesnaught	Grass	Fighting	75	64	1451	88	107	122	74	75
721	653	Fennekin	Fire		60	60	801	40	45	40	62	60
722	654	Braixen	Fire		70	73	1084	59	59	58	90	70
723	655	Delphox	Fire	Psychic	100	104	1398	75	69	72	114	100
724	656	Froakie	Water		44	71	827	41	56	40	62	44
725	657	Frogadier	Water		56	97	1062	54	63	52	83	56
726	658	Greninja	Water	Dark	71	122	1397	72	95	67	103	71
727	659	Bunnelby	Normal		36	57	618	38	36	38	32	36
728	660	Diggersby	Normal	Ground	77	78	1114	85	56	77	50	77
729	661	Fletchling	Normal	Flying	38	62	734	45	50	43	40	38
730	662	Fletchinder	Fire	Flying	52	84	1010	62	73	55	56	52
731	663	Talonflame	Fire	Flying	69	126	1302	78	81	71	74	69
732	664	Scatterbug	Bug		25	35	540	38	35	40	27	25
733	665	Spewpa	Bug		30	29	580	45	22	60	27	30
734	666	Vivillon	Bug	Flying	50	89	1094	80	52	50	90	50
735	667	Litleo	Fire	Normal	54	72	981	62	50	58	73	54
736	668	Pyroar	Fire	Normal	66	106	1349	86	68	72	109	66
737	669	Flabébé	Fairy		79	42	788	44	38	39	61	79
738	670	Floette	Fairy		98	52	963	54	45	47	75	98
739	671	Florges	Fairy		154	75	1427	78	65	68	112	154
740	672	Skiddo	Grass		57	52	941	66	65	48	62	57
741	673	Gogoat	Grass		81	68	1444	123	100	62	97	81
742	674	Pancham	Fighting		48	43	953	67	82	62	46	48
743	675	Pangoro	Fighting	Dark	71	58	1356	95	124	78	69	71
744	676	Furfrou	Normal		90	102	1224	75	80	60	65	90
745	677	Espurr	Psychic		60	68	937	62	48	54	63	60
746	678	MeowsticMale	Psychic		81	104	1213	74	48	76	83	81
747	678	MeowsticFemale	Psychic		81	104	1213	74	48	76	83	81
748	679	Honedge	Steel	Ghost	37	28	910	45	80	100	35	37
749	680	Doublade	Steel	Ghost	49	35	1260	59	110	150	45	49
750	681	AegislashBlade Forme	Steel	Ghost	50	60	1450	60	150	50	150	50
751	681	AegislashShield Forme	Steel	Ghost	150	60	1350	60	50	150	50	150
752	682	Spritzee	Fairy		65	23	935	78	52	60	63	65
753	683	Aromatisse	Fairy		89	29	1268	101	72	72	99	89
754	684	Swirlix	Fairy		57	49	917	62	48	66	59	57
755	685	Slurpuff	Fairy		75	72	1293	82	80	86	85	75
756	686	Inkay	Dark	Psychic	46	45	773	53	54	53	37	46
757	687	Malamar	Dark	Psychic	75	73	1298	86	92	88	68	75
758	688	Binacle	Rock	Water	56	50	812	42	52	67	39	56
759	689	Barbaracle	Rock	Water	86	68	1346	72	105	115	54	86
760	690	Skrelp	Poison	Water	60	30	870	50	60	60	60	60
761	691	Dragalge	Poison	Dragon	123	44	1315	65	75	90	97	123
762	692	Clauncher	Water		63	44	883	50	53	62	58	63
763	693	Clawitzer	Water		89	59	1352	71	73	88	120	89
764	694	Helioptile	Electric	Normal	43	70	754	44	38	33	61	43
765	695	Heliolisk	Electric	Normal	94	109	1240	62	55	52	109	94
766	696	Tyrunt	Rock	Dragon	45	48	993	58	89	77	45	45
767	697	Tyrantrum	Rock	Dragon	59	71	1433	82	121	119	69	59
768	698	Amaura	Rock	Ice	63	46	977	77	59	50	67	63
769	699	Aurorus	Rock	Ice	92	58	1413	123	77	72	99	92
770	700	Sylveon	Fairy		130	60	1385	95	65	65	110	130
771	701	Hawlucha	Fighting	Flying	63	118	1319	78	92	75	74	63
772	702	Dedenne	Electric	Fairy	67	101	1125	67	58	57	81	67
773	703	Carbink	Rock	Fairy	150	50	1300	50	50	150	50	150
774	704	Goomy	Dragon		75	40	785	45	50	35	55	75
775	705	Sliggoo	Dragon		113	60	1183	68	75	53	83	113
776	706	Goodra	Dragon		150	80	1570	90	100	70	110	150
777	707	Klefki	Steel	Fairy	87	75	1248	57	80	91	80	87
778	708	Phantump	Ghost	Grass	60	38	829	43	70	48	50	60
779	709	Trevenant	Ghost	Grass	82	56	1284	85	110	76	65	82
780	710	PumpkabooAverage Size	Ghost	Grass	55	51	899	49	66	70	44	55
781	710	PumpkabooSmall Size	Ghost	Grass	55	56	894	44	66	70	44	55
782	710	PumpkabooLarge Size	Ghost	Grass	55	46	904	54	66	70	44	55
783	710	PumpkabooSuper Size	Ghost	Grass	55	41	909	59	66	70	44	55
784	711	GourgeistAverage Size	Ghost	Grass	75	84	1323	65	90	122	58	75
785	711	GourgeistSmall Size	Ghost	Grass	75	99	1308	55	85	122	58	75
786	711	GourgeistLarge Size	Ghost	Grass	75	69	1338	75	95	122	58	75
787	711	GourgeistSuper Size	Ghost	Grass	75	54	1353	85	100	122	58	75
788	712	Bergmite	Ice		35	28	849	55	69	85	32	35
789	713	Avalugg	Ice		46	28	1468	95	117	184	44	46
790	714	Noibat	Flying	Dragon	40	55	640	40	30	35	45	40
791	715	Noivern	Flying	Dragon	80	123	1402	85	70	80	97	80
792	716	Xerneas	Fairy		98	99	1843	126	131	95	131	98
793	717	Yveltal	Dark	Flying	98	99	1843	126	131	95	131	98
794	718	Zygarde50% Forme	Dragon	Ground	95	95	1610	108	100	121	81	95
795	719	Diancie	Rock	Fairy	150	50	1600	50	100	150	100	150
796	719	DiancieMega Diancie	Rock	Fairy	110	110	1880	50	160	110	160	110
797	720	HoopaHoopa Confined	Psychic	Ghost	130	70	1600	80	110	60	150	130
798	720	HoopaHoopa Unbound	Psychic	Dark	130	80	1830	80	160	60	170	130
799	721	Volcanion	Fire	Water	90	70	1640	80	110	120	130	90
